Código do Curso;Código da UC;Nº Mecanográfico;Nome;Email;Regimes especiais de frequência
J3;J304N3;200026;Sara Cardoso;a200026@alunos.uminho.pt;
J3;J301N1;200027;João Ferreira;a200027@alunos.uminho.pt;
J3;J301N1;200028;Patrick Wilson;a200028@alunos.uminho.pt;EINT
J3;J304N3;200029;Filipe Oliveira;a200029@alunos.uminho.pt;
J3;J301N1;200030;Carlos Mendes;a200030@alunos.uminho.pt;
J3;J301N1;200031;Tiago Sousa;a200031@alunos.uminho.pt;
J3;J304N3;200032;Luis Almeida;a200032@alunos.uminho.pt;
J3;J301N1;200033;Chris Evans;a200033@alunos.uminho.pt;EINT
J3;J301N1;200034;Bruno Nogueira;a200034@alunos.uminho.pt;
J3;J304N3;200035;Maria Antunes;a200035@alunos.uminho.pt;
J3;J301N1;200036;João Pinto;a200036@alunos.uminho.pt;
J3;J304N3;200037;Marco Lima;a200037@alunos.uminho.pt;
J3;J301N1;200038;Leonardo Martins;a200038@alunos.uminho.pt;
J3;J304N3;200039;Edward Carter;a200039@alunos.uminho.pt;EINT
J3;J301N1;200040;Sophia Rodriguez;a200040@alunos.uminho.pt;EINT
J3;J304N3;200041;Victor Ferreira;a200041@alunos.uminho.pt;
J3;J301N1;200042;Francisco Araujo;a200042@alunos.uminho.pt;
J3;J304N3;200043;Rafael Teixeira;a200043@alunos.uminho.pt;
J3;J301N1;200044;Tomás Marques;a200044@alunos.uminho.pt;
J3;J301N1;200045;Miguel Silva;a200045@alunos.uminho.pt;
J3;J304N3;200046;Matthew Johnson;a200046@alunos.uminho.pt;EINT
J3;J304N3;200047;Helena Ramos;a200047@alunos.uminho.pt;
J3;J301N1;200048;Jorge Cunha;a200048@alunos.uminho.pt;
J3;J301N1;200049;Gabriel Duarte;a200049@alunos.uminho.pt;
J3;J304N3;200050;Roberto Matos;a200050@alunos.uminho.pt;
J3;J301N1;200051;Diogo Martins;a200051@alunos.uminho.pt;
J3;J304N3;200052;Carlos Lima;a200052@alunos.uminho.pt;
J3;J301N1;200053;Pedro Moreira;a200053@alunos.uminho.pt;
J3;J304N3;200054;Nuno Vieira;a200054@alunos.uminho.pt;
J3;J301N1;200055;Miguel Correia;a200055@alunos.uminho.pt;
J3;J304N3;200056;Ricardo Monteiro;a200056@alunos.uminho.pt;
J3;J301N1;200057;Diana Costa;a200057@alunos.uminho.pt;
J3;J304N3;200058;Jessica Taylor;a200058@alunos.uminho.pt;EINT
J3;J301N1;200059;André Figueiredo;a200059@alunos.uminho.pt;
J3;J304N3;200060;Fernando Sousa;a200060@alunos.uminho.pt;
J3;J301N1;200061;Patrícia Almeida;a200061@alunos.uminho.pt;
J3;J304N3;200062;Joana Torres;a200062@alunos.uminho.pt;
J3;J301N1;200063;Ethan Campbell;a200063@alunos.uminho.pt;EINT
J3;J304N3;200064;Leonor Carvalho;a200064@alunos.uminho.pt;
J3;J301N1;200065;Paulo Matias;a200065@alunos.uminho.pt;
J3;J304N3;200066;Rui Oliveira;a200066@alunos.uminho.pt;
J3;J301N1;200067;Lucas Barbosa;a200067@alunos.uminho.pt;
J3;J304N3;200068;Hugo Monteiro;a200068@alunos.uminho.pt;
J3;J301N1;200069;Gabriel Santos;a200069@alunos.uminho.pt;
J3;J304N3;200070;Tomás Xavier;a200070@alunos.uminho.pt;
J3;J301N1;200071;Diego Martinez;a200071@alunos.uminho.pt;EINT
J3;J304N3;200072;Alex Silva;a200072@alunos.uminho.pt;
J3;J301N1;200073;Clara Fonseca;a200073@alunos.uminho.pt;
J3;J304N3;200074;Mateus Braga;a200074@alunos.uminho.pt;
J3;J301N1;200075;Bruno Ferreira;a200075@alunos.uminho.pt;
J3;J304N3;200076;Nathan Collins;a200076@alunos.uminho.pt;EINT
J3;J301N1;200077;Vanessa Simões;a200077@alunos.uminho.pt;
J3;J304N3;200078;Beatriz Figueiredo;a200078@alunos.uminho.pt;
J3;J301N1;200079;João Andrade;a200079@alunos.uminho.pt;
J3;J304N3;200080;Eduardo Lopes;a200080@alunos.uminho.pt;
J3;J301N1;200051;Diogo Martins;a200051@alunos.uminho.pt;
J3;J304N3;200052;Carlos Lima;a200052@alunos.uminho.pt;
J3;J301N1;200053;Pedro Moreira;a200053@alunos.uminho.pt;
J3;J304N3;200054;Nuno Vieira;a200054@alunos.uminho.pt;
J3;J301N1;200055;Miguel Correia;a200055@alunos.uminho.pt;
J3;J304N3;200056;Ricardo Monteiro;a200056@alunos.uminho.pt;
J3;J301N1;200057;Diana Costa;a200057@alunos.uminho.pt;
J3;J304N3;200058;Jessica Taylor;a200058@alunos.uminho.pt;EINT
J3;J301N1;200059;André Figueiredo;a200059@alunos.uminho.pt;
J3;J304N3;200060;Fernando Sousa;a200060@alunos.uminho.pt;
J3;J301N1;200061;Patrícia Almeida;a200061@alunos.uminho.pt;
J3;J304N3;200062;Joana Torres;a200062@alunos.uminho.pt;
J3;J301N1;200063;Ethan Campbell;a200063@alunos.uminho.pt;EINT
J3;J304N3;200064;Leonor Carvalho;a200064@alunos.uminho.pt;
J3;J301N1;200065;Paulo Matias;a200065@alunos.uminho.pt;
J3;J304N3;200066;Rui Oliveira;a200066@alunos.uminho.pt;
J3;J301N1;200067;Lucas Barbosa;a200067@alunos.uminho.pt;
J3;J304N3;200068;Hugo Monteiro;a200068@alunos.uminho.pt;
J3;J301N1;200069;Gabriel Santos;a200069@alunos.uminho.pt;
J3;J304N3;200070;Tomás Xavier;a200070@alunos.uminho.pt;
J3;J301N1;200071;Diego Martinez;a200071@alunos.uminho.pt;EINT
J3;J304N3;200072;Alex Silva;a200072@alunos.uminho.pt;
J3;J301N1;200073;Clara Fonseca;a200073@alunos.uminho.pt;
J3;J304N3;200074;Mateus Braga;a200074@alunos.uminho.pt;
J3;J301N1;200075;Bruno Ferreira;a200075@alunos.uminho.pt;
J3;J304N3;200076;Nathan Collins;a200076@alunos.uminho.ptEINT;
J3;J301N1;200077;Vanessa Simões;a200077@alunos.uminho.pt;
J3;J304N3;200078;Beatriz Figueiredo;a200078@alunos.uminho.pt;
J3;J301N1;200079;João Andrade;a200079@alunos.uminho.pt;
J3;J304N3;200080;Eduardo Lopes;a200080@alunos.uminho.pt;
J3;J305N3;200051;Diogo Martins;a200051@alunos.uminho.pt;
J3;J304N2;200052;Carlos Lima;a200052@alunos.uminho.pt;
J3;J301N1;200053;Pedro Moreira;a200053@alunos.uminho.pt;
J3;J305N3;200054;Nuno Vieira;a200054@alunos.uminho.pt;
J3;J304N2;200055;Miguel Correia;a200055@alunos.uminho.pt;
J3;J301N1;200056;Ricardo Monteiro;a200056@alunos.uminho.pt;
J3;J305N3;200057;Diana Costa;a200057@alunos.uminho.pt;
J3;J304N2;200058;Jessica Taylor;a200058@alunos.uminho.ptEINT;
J3;J301N1;200059;André Figueiredo;a200059@alunos.uminho.pt;
J3;J305N3;200060;Fernando Sousa;a200060@alunos.uminho.pt;
J3;J304N2;200061;Patrícia Almeida;a200061@alunos.uminho.pt;
J3;J301N1;200062;Joana Torres;a200062@alunos.uminho.pt;
J3;J305N3;200063;Ethan Campbell;a200063@alunos.uminho.pt;EINT
J3;J304N2;200064;Leonor Carvalho;a200064@alunos.uminho.pt;
J3;J301N1;200065;Paulo Matias;a200065@alunos.uminho.pt;
J3;J305N3;200066;Rui Oliveira;a200066@alunos.uminho.pt;
J3;J304N2;200067;Lucas Barbosa;a200067@alunos.uminho.pt;
J3;J301N1;200068;Hugo Monteiro;a200068@alunos.uminho.pt;
J3;J305N3;200069;Gabriel Santos;a200069@alunos.uminho.pt;
J3;J304N2;200070;Tomás Xavier;a200070@alunos.uminho.pt;
J3;J301N1;200071;Diego Martinez;a200071@alunos.uminho.pt;EINT
J3;J305N3;200072;Alex Silva;a200072@alunos.uminho.pt;
J3;J304N2;200073;Clara Fonseca;a200073@alunos.uminho.pt;
J3;J301N1;200074;Mateus Braga;a200074@alunos.uminho.pt;
J3;J305N3;200075;Bruno Ferreira;a200075@alunos.uminho.pt;
J3;J304N2;200076;Nathan Collins;a200076@alunos.uminho.ptEINT;
J3;J301N1;200077;Vanessa Simões;a200077@alunos.uminho.pt;
J3;J305N3;200078;Beatriz Figueiredo;a200078@alunos.uminho.pt;
J3;J304N2;200079;João Andrade;a200079@alunos.uminho.pt;
J3;J301N1;200080;Eduardo Lopes;a200080@alunos.uminho.pt;
J3;J301N1;200081;Gabriel Alves;a200081@alunos.uminho.pt;
J3;J302N1;200082;João Pires;a200082@alunos.uminho.pt;
J3;J304N2;200083;Sara Ribeiro;a200083@alunos.uminho.pt;
J3;J305N3;200084;Henrique Castro;a200084@alunos.uminho.pt;
J3;J301N1;200085;Beatriz Nogueira;a200085@alunos.uminho.pt;
J3;J302N1;200086;Lucas Teixeira;a200086@alunos.uminho.pt;
J3;J304N2;200087;Isabela Santos;a200087@alunos.uminho.pt;
J3;J305N3;200088;André Neves;a200088@alunos.uminho.pt;
J3;J301N1;200089;Tiago Matos;a200089@alunos.uminho.pt;
J3;J302N1;200090;Pedro Carvalho;a200090@alunos.uminho.pt;
J3;J304N2;200091;Rafael Lopes;a200091@alunos.uminho.pt;
J3;J305N3;200092;Cláudia Ferreira;a200092@alunos.uminho.pt;
J3;J301N1;200093;Mariana Oliveira;a200093@alunos.uminho.pt;
J3;J302N1;200094;Eduardo Correia;a200094@alunos.uminho.pt;
J3;J304N2;200095;Leonor Marques;a200095@alunos.uminho.pt;
J3;J305N3;200096;Ricardo Silva;a200096@alunos.uminho.pt;
J3;J301N1;200097;Vanessa Araújo;a200097@alunos.uminho.pt;
J3;J302N1;200098;Lara Barros;a200098@alunos.uminho.pt;
J3;J304N2;200099;Aline Costa;a200099@alunos.uminho.pt;
J3;J305N3;200100;Filipe Pereira;a200100@alunos.uminho.pt;
J3;J301N1;200101;Davi Xavier;a200101@alunos.uminho.pt;
J3;J302N1;200102;Melissa Lima;a200102@alunos.uminho.pt;
J3;J304N2;200103;Bruno Almeida;a200103@alunos.uminho.pt;
J3;J305N3;200104;Luís Fernandes;a200104@alunos.uminho.pt;
J3;J301N1;200105;Fernando Ribeiro;a200105@alunos.uminho.pt;
J3;J302N1;200106;Sofia Oliveira;a200106@alunos.uminho.pt;
J3;J304N2;200107;Matheus Andrade;a200107@alunos.uminho.pt;
J3;J305N3;200108;Tiago Costa;a200108@alunos.uminho.pt;
J3;J301N1;200109;Alice Fernandes;a200109@alunos.uminho.pt;
J3;J302N1;200110;Joana Barbosa;a200110@alunos.uminho.pt;
J3;J304N2;200111;Rodrigo Mendes;a200111@alunos.uminho.pt;
J3;J305N3;200112;Gustavo Torres;a200112@alunos.uminho.pt;
J3;J301N1;200113;Felipe Gomes;a200113@alunos.uminho.pt;
J3;J302N1;200114;Sérgio Almeida;a200114@alunos.uminho.pt;
J3;J304N2;200115;Marina Silva;a200115@alunos.uminho.pt;
J3;J305N3;200116;António Pereira;a200116@alunos.uminho.pt;
J3;J301N1;200117;Camila Nunes;a200117@alunos.uminho.pt;
