date,person_name,person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,tax,loan_status
11-07-1990,Jonathan Isidro Alvoeiro,35.0,female,Bachelor,92012.0,9.0,MORTGAGE,22000.0,HOME-IMPROVE,9.88,0.24,8.0,535.0,Yes,1,Rejected
13-05-1993,Naír Salteiro,32.0,male,Master,94489.0,12.0,RENT,13000.0,HOMEIMPROVEMENT,12.53,0.14,10.0,607.0,Yes,1,Pending
12-11-1995,Zoe Valentina Moises,30.0,M,Master,157043.0,6.0,MORTGAGE,27000.0,VENTUREE,11.71,0.17,6.0,676.0,Yes,1,Rejected
29-07-1995,Duana Menezes,30.0,male,Bachelor,41338.0,7.0,RNT,13724.0,MDICAL,15.49,0.33,10.0,691.0,No,1,Approved
22-01-1978,Blaise Narigão,47.0,male,Master,47919.0,26.0,MORTGAGE,5600.0,EDUCATION,8.59,0.12,11.0,658.0,No,1,Rejected
14-03-1992,Eric Filipe Marrafa,33.0,female,Associate,37333.0,9.0,RENT,6500.0,DEBTCONS,8.49,0.17,10.0,697.0,Yes,1,Rejected
27-06-2000,Mariusz Braca,25.0,male,Associate,81212.0,2.0,MORTGAGE,12000.0,DEBTCONSOLIDATION,9.63,0.15,4.0,636.0,No,1,Approved
30-01-1999,Ester Isabel Simoo,26.0,male,HS,120871.0,3.0,MRTG,9200.0,VENTURE,6.03,0.08,3.0,677.0,No,1,Rejected
15-10-2001,Viktória Pólvora,24.0,male,Masters,86114.0,0.0,MORTGAGE,5000.0,DEBTCONSOLIDATION,14.96,0.06,3.0,663.0,No,1,Approved
25-10-2002,Moróni Sardoo,23.0,female,Bachelor,79072.0,0.0,RENT,6000.0,EDU,11.99,0.08,2.0,627.0,Yes,1,Rejected
03-01-2001,Maria Flor Almeiroo,24.0,male,Bachelors,93790.0,0.0,RENT,6822.0,VENTURE,10.75,0.07,4.0,608.0,Yes,1,Pending
27-10-1996,Salvador Solano Capacho,29.0,female,Bachelor,67654.0,6.0,RENT,12000.0,DEBTCONSOLIDATION,7.88,0.18,8.0,669.0,No,1,Pending
01-01-2001,Isa Mara Carita,24.0,male,Associate,235014.0,2.0,MORTGAGE,5000.0,MEDICAL,8.9,0.02,3.0,703.0,No,1,Rejected
20-12-1998,Dinis José Luis,27.0,female,Associate,151231.0,5.0,MORTGAGE,24000.0,HOMEIMP,6.91,0.16,8.0,660.0,No,1,Rejected
11-07-2000,Arisha Ferrete,25.0,male,Bachelor,51085.0,2.0,RENT,3200.0,MEDICAL,15.7,0.06,2.0,618.0,No,1,Approved
22-07-1992,Assma Cameirão,33.0,male,Bachelor,47127.0,9.0,MORTGAGE,2558.0,PERSONL,15.9,0.05,6.0,633.0,No,1,Pending
21-05-2003,Clever Balinha,22.0,female,Bachelors,36578.0,2.0,RNT,5000.0,EDUCTION,11.12,0.14,3.0,475.0,No,1,Pending
27-10-1996,Nuno Lourenço Bracourt,29.0,female,High School,29442.0,9.0,RENT,1000.0,MEDICAL,9.99,0.03,7.0,614.0,Yes,1,Rejected
22-02-1994,João Manoel Roçadas,31.0,female,Master,100794.0,6.0,MORTGAGE,7500.0,MEDICAL,11.01,0.07,10.0,557.0,Yes,1,Rejected
14-12-2000,Maria Deolinda Rozado,25.0,female,High School,76644.0,1.0,MORTGAGE,3000.0,EDUCATION,13.47,0.04,2.0,666.0,Yes,1,Pending
30-12-2000,Laurene Quesado,25.0,male,Associate,79957.0,2.0,OWN,15000.0,PERSONAL,7.49,0.19,4.0,641.0,Yes,1,Pending
09-09-2001,Aashi Escarigo,24.0,female,Assoc. Degree,92397.0,0.0,MORTGAGE,,EDUCATION,12.63,0.16,3.0,513.0,No,1,Pending
16-01-2000,Ricardo Yordanov Tela,25.0,female,Associate,44317.0,3.0,RENT,15000.0,DEBTCONSOLIDATION,15.05,0.34,2.0,613.0,No,1,Approved
17-10-2002,Acini Beiral,23.0,female,Bachelor,16720.0,1.0,RENT,2457.0,VENTURE,12.89,0.15,4.0,636.0,No,1,Pending
30-05-1997,Ana Rute Capitaiz,28.0,Men,Bachelors,39702.0,4.0,RENT,10234.0,MEDICAL,7.36,0.26,8.0,615.0,No,1,Approved
01-08-2003,Kevin Anderson Alvarez,22.0,M,Assoc. Degree,30066.0,0.0,RENT,4500.0,EDUCATION,11.49,0.15,2.0,648.0,No,1,Pending
19-06-1996,Savannah Isabel Sanina,29.0,female,Bachelor,85142.0,6.0,RENT,10000.0,HOMEIMP,11.01,0.12,8.0,680.0,No,1,Rejected
29-09-1975,Lucas Paulo Gertrudes,50.0,male,BSc,55772.0,26.0,MORTGAGE,5000.0,PERSONAL,7.9,0.09,16.0,687.0,No,1,Rejected
04-11-2003,Margarida Adriana Louro,22.0,female,Associate,74162.0,0.0,RENT,6000.0,EDUCATION,11.01,0.08,4.0,586.0,Yes,1,Pending
19-04-1999,João Arthur Malcatanho,26.0,female,Bachelor,64317.0,5.0,MORTGAGE,4000.0,MEDICAL,11.89,0.06,4.0,658.0,No,1,Approved
14-09-2001,Iraldo Mariz,24.0,male,Master,66320.0,5.0,MORTGAGE,8000.0,PERSONL,8.63,0.12,4.0,626.0,No,1,Pending
17-05-1989,Loubna Apostolo,36.0,male,Associate,97114.0,15.0,MORTGAGE,10000.0,VENTURE,6.62,0.1,14.0,661.0,Yes,1,Pending
29-03-1989,Taissa Barriço,36.0,female,Bachelor,90820.0,13.0,MORTGAGE,10000.0,HOMEIMPROVEMENT,11.75,0.11,12.0,696.0,Yes,1,Pending
02-07-2002,Davy Garro,23.0,Woman,Bachelor,85041.0,2.0,RENT,4800.0,PERSONAL,11.01,0.06,2.0,,Yes,1,Rejected
07-01-1999,Elena Anabella Canheto,26.0,female,Master,82507.0,4.0,OWN,24250.0,PERSONAL,12.18,0.29,4.0,702.0,Yes,1,Rejected
06-03-2002,Etelvino Fiúza,23.0,male,High School,46827.0,0.0,OWN,8400.0,VENTURE,13.8,0.18,2.0,685.0,Yes,1,Rejected
18-12-2000,Roberto Stefan Santarino,25.0,male,HS,67076.0,2.0,RENT,4000.0,EDUCATION,8.57,0.06,3.0,601.0,Yes,1,Rejected
30-07-1993,Gustavo Emanuel Blanco,32.0,female,High School,,7.0,RENT,8000.0,MEDICAL,10.32,0.15,10.0,648.0,Yes,1,Pending
10-10-1996,Lacerda Tudela,29.0,male,Associate,96857.0,9.0,MORTGAGE,22000.0,MEDICAL,10.59,0.23,10.0,673.0,No,1,Pending
11-05-2002,Ravydson Durão,23.0,male,Bachelor,74246.0,2.0,MORTGAGE,10000.0,DEBTCONSOLIDATION,7.88,0.13,3.0,583.0,Yes,1,Pending
21-10-2002,Nyah Vitória Riscado,23.0,female,High School,111677.0,2.0,RENT,6887.0,VENTUREE,12.23,0.06,4.0,577.0,Yes,1,Pending
27-07-2004,Sehajpreet Melúria,21.0,male,Bachelor,50084.0,0.0,OWN,5000.0,PERSONAL,7.74,0.1,3.0,678.0,Yes,1,Rejected
13-04-1999,Charles Galinho,26.0,M,Bachelor,37097.0,5.0,RENT,4000.0,MEDICAL,14.27,0.11,2.0,673.0,No,1,Pending
28-09-1996,Caio José Sabrosa,29.0,male,Bachelor,140223.0,8.0,MORTGAGE,24962.0,PERSONAL,13.39,0.18,8.0,687.0,No,1,Approved
30-12-2001,Owen Vilarandas,24.0,F,Associate,114678.0,2.0,MORTGAGE,10000.0,HOMEIMPROVEMENT,10.65,0.09,4.0,591.0,Yes,1,Rejected
10-03-1994,Maguette Marchoo,31.0,female,Master,96956.0,6.0,MORTGAGE,10000.0,MEDICAL,11.01,0.1,5.0,603.0,Yes,1,Pending
28-06-2003,Aissatá Fiel,22.0,female,High School,72547.0,0.0,MORTGAGE,11200.0,VENTUREE,5.79,0.15,4.0,566.0,No,1,Rejected
13-03-2002,Keeley Nelo,23.0,female,Bachelor,0.0,2.0,RENT,7356.0,EDUCATION,12.0,0.14,3.0,593.0,Yes,1,Pending
12-11-2001,Júnio Redes,24.0,female,Assoc,84747.0,5.0,RNT,8000.0,DEBTCONSOLIDATION,12.94,0.09,4.0,588.0,Yes,1,Rejected
29-01-2000,Jasmin Grencho,25.0,male,Master,103093.0,1.0,RENT,15000.0,VENTURE,8.19,0.15,4.0,652.0,Yes,1,Pending
13-01-1991,Pranika Pincel,34.0,male,Bachelor,26505.0,10.0,RENT,5000.0,HOMEIMPROVEMENT,13.45,0.19,8.0,669.0,No,1,Approved
18-03-2002,Kay Palmeiro,23.0,female,Bachelor,92495.0,0.0,MORTGAGE,9000.0,DEBTCONSOLIDATION,11.01,0.1,3.0,634.0,No,1,Approved
30-07-1991,André Guilherme Beiriz,,male,Bachelor,87607.0,13.0,RENT,20000.0,VENTURE,11.89,0.23,10.0,735.0,No,1,Rejected
15-08-1999,Santiago Vincenzo Amelia,26.0,male,Bachelor,162872.0,7.0,MORTGAGE,24000.0,DEBTCONS,12.99,0.15,2.0,706.0,Yes,1,Pending
05-04-2001,Angélico Emanuel Rungo,24.0,female,High School,62040.0,1.0,RENT,9830.0,HOMEIMPROVEMENT,9.57,0.16,3.0,653.0,Yes,1,Rejected
04-01-2004,Nahery Quintans,21.0,female,Associate,44067.0,0.0,MORTG,8000.0,DEBTCONSOLIDATION,9.32,0.18,3.0,583.0,No,1,Rejected
22-08-2003,Otchila Capoo,22.0,male,Master,15498.0,1.0,RENT,6000.0,DEBTCONSOLIDATION,8.88,0.39,4.0,708.0,No,1,Pending
06-12-1982,Lourenço José Calvario,43.0,female,High School,67140.0,16.0,MRTG,11750.0,DEBTCONSOLIDATION,10.99,0.18,17.0,676.0,Yes,1,Rejected
16-08-2002,Elavoko Victor Real,23.0,female,High School,49187.0,2.0,OTHER,10000.0,EDUCATION,12.72,0.2,2.0,583.0,No,1,Rejected
06-05-2001,Roberta Pedroto,24.0,male,Bachelor,68051.0,0.0,RNT,15000.0,DEBTCONSOLIDATION,12.87,0.22,2.0,594.0,Yes,1,Rejected
09-09-2001,Maria da Bonança Capitaiz,24.0,male,Bachelor,136827.0,0.0,RENT,10191.0,PERSONAL,10.09,0.07,3.0,615.0,No,1,Pending
10-02-1997,Edelair Faim,28.0,male,Associate,25086.0,3.0,OWN,10000.0,MEDICAL,11.01,0.4,7.0,623.0,No,1,Approved
11-06-2003,Rodger Porto,22.0,female,Associate,102456.0,0.0,MORTGAGE,12000.0,VENTURE,6.91,0.12,3.0,648.0,Yes,1,Rejected
29-10-2000,Marlen Leston,25.0,male,Bachelor,68111.0,1.0,MORTGAGE,3500.0,MEDICAL,14.17,0.05,3.0,692.0,Yes,1,Rejected
15-12-2003,Lil Murca,22.0,female,Assoc,,1.0,RENT,6000.0,EDUCATION,11.01,0.14,2.0,658.0,Yes,1,Rejected
24-11-1996,Elisa Alexandra Fereira,29.0,female,Bachelor,55272.0,6.0,RENT,10000.0,MEDICAL,11.01,0.18,5.0,662.0,No,1,Rejected
10-09-1995,Imara Sona Gestosa,30.0,male,Bachelor,129544.0,8.0,MORTGAGE,2500.0,DEBTCONS,10.78,0.02,6.0,669.0,No,1,Rejected
11-11-1995,Lucas Gael Boucho,30.0,female,Associate,108001.0,8.0,RENT,28869.0,DEBTCONSOLIDATION,7.97,0.27,7.0,602.0,No,1,Approved
04-10-2001,Carolina Augusta Magalhaes,24.0,male,Associate,116992.0,0.0,MORTGAGE,14000.0,EDUCATION,17.19,0.12,4.0,655.0,Yes,1,Rejected
26-02-2000,Rosanete Jaloto,25.0,male,Master,136746.0,6.0,MORTGAGE,25000.0,PERSONAL,11.61,0.18,6.0,658.0,No,1,Rejected
19-04-2000,Iara Alzira Veigo,25.0,female,Associate,48777.0,2.0,MORTGAGE,4500.0,PERSONAL,10.99,0.09,3.0,556.0,Yes,1,Rejected
23-01-2002,Evilazio Segurado,23.0,male,Bachelor,60867.0,0.0,RENT,6000.0,MEDICAL,11.86,0.1,3.0,600.0,Yes,1,Rejected
06-10-1995,Priscienne Assoreia,30.0,female,Associate,72969.0,6.0,RENT,8000.0,HOMEIMPROVEMENT,7.66,0.11,,615.0,No,1,Rejected
17-02-2000,Rahel Sofia Bogalho,25.0,female,High School,116369.0,4.0,OWNN,4000.0,EDUCATION,9.88,0.03,3.0,521.0,Yes,1,Rejected
02-01-1987,Jan Paulo Alvarenga,38.0,F,Associate,157075.0,15.0,MORTGAGE,11000.0,DEBTCONSOLIDATION,10.74,0.07,11.0,654.0,No,1,Pending
11-09-2001,Laymir Ribeira,24.0,male,High School,60838.0,5.0,RENT,8000.0,EDUCATION,7.96,0.13,4.0,,Yes,1,Rejected
10-02-2000,Vanilson Olmas,25.0,male,Bachelor,85053.0,3.0,RENT,12000.0,VENTURE,8.9,0.14,2.0,616.0,Yes,1,Rejected
04-10-1999,Luísa Nano Grancho,26.0,female,Doctorate,141216.0,2.0,MORTGAGE,6000.0,HOME-IMPROVE,7.51,0.04,4.0,576.0,No,1,Rejected
20-10-2004,Heloá Barreiros,21.0,male,High School,60925.0,0.0,RENT,12000.0,PERSONAL,11.71,0.2,3.0,530.0,Yes,1,Rejected
17-03-2003,Romiela Doria,22.0,female,Bachelor,65835.0,2.0,RENT,3200.0,HOMEIMPROVEMENT,16.49,0.05,4.0,680.0,No,1,Approved
03-11-2002,Inae Botoo,23.0,female,Bachelor,152485.0,0.0,MORTGAGE,3212.0,EDUCATION,14.78,0.02,3.0,682.0,No,1,Pending
18-05-2002,Parmeet Eliseu,23.0,female,High School,39925.0,1.0,RNT,12300.0,EDUCATION,11.01,0.31,3.0,537.0,No,1,Approved
01-07-2000,Uziel Paratudo,25.0,female,Bachelor,52926.0,2.0,RENT,3000.0,PERSONAL,13.8,0.06,3.0,725.0,Yes,1,Pending
04-04-1996,Marguerita Pidranca,29.0,male,Bachelor,54863.0,5.0,RENT,7500.0,EDUCATION,11.01,0.14,5.0,652.0,Yes,1,Rejected
23-12-2001,Sérgio Júnior Nicoleta,24.0,male,Master,71342.0,5.0,RENT,6300.0,MEDICAL,14.91,0.09,2.0,658.0,No,1,Approved
04-09-2000,Pégui Loreiro,25.0,female,Associate,47763.0,6.0,RNT,16000.0,VENTURE,16.38,0.33,3.0,629.0,No,1,Approved
12-02-2003,Amarílys Liberado,22.0,female,High School,38089.0,0.0,MORTGAGE,1050.0,DEBTCONSOLIDATION,7.51,0.03,4.0,581.0,No,1,Pending
13-08-1988,Audria Roriz,37.0,female,High School,143942.0,16.0,MORTGAGE,5169.0,PERSONAL,10.91,0.04,10.0,617.0,Yes,1,Pending
11-04-2003,Diogo Mihai Natarie,22.0,M,High School,43363.0,0.0,RENT,4992.0,MEDICAL,11.0,0.12,3.0,527.0,Yes,1,Rejected
25-08-1984,Lília Mancilha,41.0,male,High School,167170.0,17.0,MORTGAGE,23000.0,MDICAL,14.96,0.14,12.0,573.0,No,1,Approved
28-06-2003,Iono Pastilha,22.0,male,Associate,68235.0,1.0,MORTGAGE,25000.0,PERSONAL,16.4,0.37,3.0,632.0,No,1,Approved
05-01-1999,Edrick Ruela,26.0,female,Master,91227.0,6.0,MORTGAGE,9600.0,EDUCATION,5.42,0.11,3.0,644.0,Yes,1,Rejected
11-05-2003,Maria Camila Quiteliano,22.0,male,High School,36844.0,0.0,RNT,5000.0,HOMEIMPROVEMENT,8.88,0.14,3.0,614.0,No,1,Pending
14-11-1993,Dinis Duarte Filgueiras,32.0,male,Associate,15301.0,9.0,RENT,6075.0,DEBTCONSOLIDATION,12.42,0.4,8.0,661.0,No,1,Approved
21-02-1989,Pedro Mário Vilalobos,36.0,male,Associate,39086.0,13.0,OWN,3600.0,EDUCATION,13.49,0.09,11.0,621.0,Yes,1,Rejected
22-03-2002,Léa Felimino,23.0,male,High School,24983.0,3.0,RENT,1500.0,DEBTCONS,9.62,0.06,3.0,670.0,Yes,1,Rejected
16-05-2002,Hester Fusco,23.0,female,Associate,55019.0,0.0,MORTGAGE,9925.0,EDUCATION,11.48,0.18,2.0,592.0,Yes,1,Rejected
23-08-2000,Maryjane Pega,25.0,male,Bachelor,68700.0,5.0,RENT,3838.0,DEBTCONSOLIDATION,15.03,0.06,3.0,643.0,No,1,Approved
29-03-1998,Divyash Teodoro,27.0,female,High School,54879.0,5.0,RNT,18000.0,PERSONAL,13.16,0.33,7.0,611.0,No,1,Approved
22-09-1996,Leanor Magueija,29.0,male,Bachelor,74965.0,9.0,MORTGAGE,10000.0,PERSONAL,12.41,0.13,9.0,576.0,Yes,1,Rejected
05-09-1997,Neivalda Coxo,28.0,female,High School,78570.0,6.0,MORTGAGE,1454.0,PERSONAL,9.73,0.02,6.0,636.0,No,1,Rejected
06-04-1994,Solange Filipa Grada,31.0,Woman,High School,36929.0,8.0,RENT,7200.0,VENTURE,11.48,0.19,6.0,588.0,Yes,1,Rejected
11-08-2000,Nayara Filipa Molato,25.0,male,High School,211017.0,5.0,MORTG,10000.0,HOMEIMPROVEMENT,15.05,0.05,4.0,631.0,Yes,1,Rejected
30-01-2004,Ronise Prudencio,21.0,male,High School,31253.0,0.0,RENT,6000.0,EDUCATION,7.49,0.19,3.0,450.0,Yes,1,Rejected
04-09-1996,Salúquia Malhadeiro,29.0,female,High School,15532.0,8.0,RENT,4500.0,EDUCTION,15.05,0.29,9.0,619.0,No,1,Pending
28-10-1984,Magna Varatojo,41.0,female,High School,46963.0,20.0,RNT,8875.0,MED,19.03,0.19,11.0,698.0,Yes,1,Pending
02-06-1993,Nárcia Calhabeu,32.0,Woman,High School,186782.0,11.0,MORTGAGE,8000.0,MEDICAL,11.01,0.04,6.0,683.0,No,1,Rejected
08-07-1992,Basile Sacha Carqueijeiro,33.0,male,Associate,35824.0,13.0,RENT,10000.0,VENTUREE,13.06,0.28,9.0,657.0,No,1,Approved
06-03-2001,Hafsa Antão,24.0,male,Bachelor,115945.0,2.0,RENT,17400.0,DEBTCONSOLIDATION,10.37,0.15,2.0,619.0,Yes,1,Pending
29-08-1996,Sara Letícia Cartaxo,29.0,male,Associate,36799.0,6.0,RENT,2000.0,DEBTCONSOLIDATION,10.75,0.05,7.0,608.0,No,1,Pending
09-06-1999,Edanna Ceia,26.0,male,High School,61280.0,4.0,OWN,12000.0,MEDICAL,8.49,0.2,4.0,654.0,Yes,1,Rejected
09-04-1994,Julen Climaco,31.0,female,Master,66823.0,11.0,RNT,10000.0,DEBTCONSOLIDATION,8.56,0.15,10.0,623.0,Yes,1,Rejected
12-05-2002,Arline Soldado,23.0,M,Assoc,48159.0,0.0,RENT,6000.0,DEBTCONSOLIDATION,15.99,0.12,3.0,592.0,No,1,Approved
01-02-1999,Anna Justiça,26.0,female,HS,115019.0,3.0,MORTGAGE,14000.0,DEBTCONSOLIDATION,6.03,0.12,4.0,677.0,Yes,1,Rejected
29-11-2004,Fabião Júnior Ermeiro,21.0,male,High School,45480.0,0.0,RENT,7500.0,HOMEIMPROVEMENT,14.84,0.16,2.0,658.0,No,1,Approved
07-02-1999,Henrique de Santana Hermida,26.0,female,Associate,51672.0,2.0,RENT,3500.0,EDUCATION,12.61,0.07,4.0,596.0,Yes,1,Rejected
21-07-2003,Kyanna Calçcaroo,22.0,Men,Bachelor,42450.0,1.0,RNT,7500.0,DEBTCONS,15.05,0.18,2.0,682.0,No,1,Approved
11-10-2000,Sameep Ledo,25.0,F,Bachelor,72982.0,5.0,MORTGAGE,13000.0,MEDICAL,14.17,0.18,3.0,691.0,No,1,Pending
26-10-1992,Faira Sarrudo,33.0,male,High School,0.0,13.0,MORTGAGE,4500.0,DEBTCONS,14.74,0.08,10.0,644.0,No,1,Approved
26-04-1983,Electra Groo,42.0,Men,Associate,39683.0,20.0,RENT,10000.0,VENTURE,10.38,0.25,15.0,690.0,No,1,Approved
13-09-2002,Alícia Raquel Tonela,23.0,male,Associate,53026.0,0.0,RENT,10450.0,PERSONAL,13.57,0.2,3.0,618.0,No,1,Rejected
28-03-1997,Nanda Cardador,28.0,female,High School,120915.0,7.0,RENT,18000.0,MEDICAL,13.91,0.15,9.0,501.0,Yes,1,Pending
28-07-2000,Karen Letícia Arraiano,25.0,F,Master,24152.0,6.0,RENT,4000.0,DEBTCONSOLIDATION,11.01,0.17,3.0,649.0,No,1,Pending
21-08-2000,Íris Carolina Carronda,25.0,male,Associate,29861.0,0.0,RENT,9600.0,PERSONAL,11.71,0.32,3.0,598.0,No,1,Approved
30-05-1990,Mónica Luana Couxão,35.0,male,Bachelor,31112.0,14.0,RENT,8000.0,MDICAL,7.51,0.26,7.0,705.0,No,1,Approved
10-11-1996,Mannoor Quintera,29.0,M,Bachelor,82779.0,5.0,RENT,10000.0,EDUCATION,10.65,0.12,5.0,629.0,Yes,1,Rejected
16-04-2002,Joselito Patricio,23.0,male,Bachelor,30059.0,0.0,MORTGAGE,1375.0,MED,11.11,0.05,4.0,506.0,No,1,Pending
23-03-1999,Duarte Joaquim Carda,26.0,male,Master,53841.0,4.0,RENT,4500.0,MEDICAL,7.74,0.08,3.0,704.0,Yes,1,Pending
03-01-1997,Endrickson Guardão,28.0,male,Master,,5.0,MORTGAGE,3000.0,VENTURE,11.72,0.04,10.0,610.0,Yes,1,Rejected
20-12-2004,Nidhi Cavem,21.0,female,Master,72792.0,0.0,RENT,8000.0,EDUCATION,11.26,0.11,3.0,687.0,No,1,Rejected
22-07-2004,Eliane Raissa Dimas,21.0,female,Associate,26844.0,0.0,RENT,3500.0,DEBTCONSOLIDATION,7.51,0.13,2.0,627.0,Yes,1,Pending
24-03-2002,Mimoso Mauricio,23.0,male,Associate,36757.0,0.0,MORTGAGE,8000.0,HOMEIMPROVEMENT,5.78,0.22,4.0,576.0,Yes,1,Pending
08-03-1998,Siya Lebre,27.0,female,High School,83707.0,3.0,RENT,2500.0,VENTURE,7.14,0.03,8.0,613.0,Yes,1,Rejected
18-10-1997,Dérrick Almas,28.0,female,Master,70058.0,4.0,MORTGAGE,23000.0,EDUCTION,11.01,0.33,7.0,501.0,Yes,1,Rejected
17-06-2000,Diego Marcelo Beites,25.0,male,Bachelor,42203.0,6.0,MORTGAGE,2000.0,DEBTCONSOLIDATION,7.66,0.05,4.0,614.0,No,1,Approved
05-04-2001,Isac Afonso Louçano,24.0,female,H-School,73202.0,1.0,RENT,20000.0,PERSONL,11.14,0.27,2.0,536.0,No,1,Approved
27-10-1984,Luniva Campeae,41.0,male,Associate,71026.0,21.0,RENT,7150.0,PERSONAL,15.99,0.1,16.0,701.0,No,1,Approved
19-06-2001,Rafael Simão Duraes,24.0,male,High School,35392.0,1.0,MORTGAGE,6000.0,MEDICAL,9.99,0.17,3.0,604.0,Yes,1,Pending
